"Crash ID","Traffic Unit ID","Involved Person ID","DOT Case Number","Year","Involved Person Identifier","Vehicle ID","Injury Classification","Injury Classification Text Format","Seating Position","Seating Position Text Format","Involved Person Age","Occupant Protection System Use","Occupant Protection System Use Text Format","Airbag Status","Airbag Status Text Format","Ejection Status","Ejection Status Text Format"
"1445002","2697957","3671248","115204","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","13","9","Restraint Use Unknown","3","Not Applicable","3","Partially Ejected"
"1445002","2697957","3671249","115204","1995","02","02","B","Non Incapacitating Evident Injury","4","Second Seat Left/Motorcycle Passenger","9","9","Restraint Use Unknown","3","Not Applicable","3","Partially Ejected"
"1445307","2698538","3672053","115517","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","27","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1445363","2698640","3672194","115576","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","47","6","Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1445958","2699668","3673597","116196","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","39","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1446344","2700310","3674429","116598","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","33","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1446538","2700678","3674917","116804","1995","01","01","N","Not Injured","1","Front Seat Left/Motorcycle Driver","19","1","None Used-Vehicle Occupant","3","Not Applicable","3","Partially Ejected"
"1446831","2701219","3675757","117121","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1446837","2701230","3675781","117127","1995","02","02","N","Not Injured","1","Front Seat Left/Motorcycle Driver","16","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1446851","2701254","3675815","117142","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","11","1","None Used-Vehicle Occupant","3","Not Applicable","1","Not Applicable"
"1446923","2701376","3675982","117222","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","12","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1446924","2701379","3675985","117223","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","34","9","Restraint Use Unknown","3","Not Applicable","5","Unknown"
"1446997","2701516","3676146","117297","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","16","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1447076","2701660","3676326","117379","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","10","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1447410","2702307","3677187","117734","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","26","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1447581","2702623","3677613","117913","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","22","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1447997","2703375","3678688","118356","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","47","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1447999","2703378","3678694","118358","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","27","1","None Used-Vehicle Occupant","3","Not Applicable","1","Not Applicable"
"1448009","2703399","3678718","118368","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","15","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1448028","2703430","3678761","118387","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","13","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1448287","2703924","3679431","118665","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","57","1","None Used-Vehicle Occupant","3","Not Applicable","1","Not Applicable"
"1448290","2703930","3679439","118668","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","10","7","Helmet/No High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1448377","2704100","3679633","118758","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","40","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1448408","2704158","3679708","118792","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","13","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1448676","2704679","3680441","119076","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","27","9","Restraint Use Unknown","3","Not Applicable","3","Partially Ejected"
"1448797","2704906","3680755","119209","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","16","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1448868","2705027","3680926","119282","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","14","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1448897","2705079","3680998","119314","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","13","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1448935","2705154","3681113","119355","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","32","6","Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1449020","2705299","3681345","119446","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","32","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1449039","2705330","3681382","119465","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","29","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1449177","2705593","3681722","119608","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","19","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1449227","2705691","3681842","119658","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","31","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1449339","2705906","3682119","119778","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","50","6","Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1449674","2706550","3683016","120130","1995","02","02","N","Not Injured","1","Front Seat Left/Motorcycle Driver","12","1","None Used-Vehicle Occupant","3","Not Applicable","3","Partially Ejected"
"1449925","2707022","3683708","120395","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","17","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1449987","2707133","3683872","120458","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","40","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1450097","2707337","3684149","120573","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","26","7","Helmet/No High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1450227","2707599","3684485","120710","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","13","7","Helmet/No High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1450244","2707632","3684525","120728","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","11","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1450277","2707691","3684590","120762","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","28","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1450295","2707729","3684636","120782","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","12","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1450380","2707888","3684848","120871","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","9","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1450456","2708031","3685032","120951","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","17","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1450668","2708449","3685571","121173","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","49","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1450810","2708723","3685944","121322","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","16","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1450892","2708874","3686143","121408","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","18","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1450964","2709014","3686341","121484","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","12","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1450983","2709048","3686394","121504","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","81","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1451060","2709186","3686615","121588","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","6","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1451162","2709379","3686912","121697","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","12","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1451324","2709700","3687335","121865","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","31","7","Helmet/No High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1451469","2709977","3687688","122015","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","11","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1451513","2710065","3687813","122062","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","33","8","No Helmet/High Visibility Clothing","3","Not Applicable","3","Partially Ejected"
"1451912","2710855","3688844","122478","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","9","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1451921","2710872","3688866","122488","1995","02","02","N","Not Injured","1","Front Seat Left/Motorcycle Driver","22","6","Helmet/High Visibility Clothing","3","Not Applicable","3","Partially Ejected"
"1451955","2710943","3688957","122523","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","30","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1451982","2710990","3689013","122550","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","8","6","Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1452002","2711028","3689060","122570","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","28","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1452154","2711283","3689449","122725","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","29","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1452615","2712017","3690542","123199","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","8","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1452630","2712046","3690580","123214","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","9","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1452740","2712254","3690861","123333","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","13","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1452740","2712254","3690862","123333","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","4","Second Seat Left/Motorcycle Passenger","12","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1452805","2712381","3691030","123403","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","16","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1452849","2712470","3691159","123449","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","9","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1453329","2713388","3692379","123948","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","11","8","No Helmet/High Visibility Clothing","3","Not Applicable","5","Unknown"
"1453380","2713501","3692521","124003","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","12","1","None Used-Vehicle Occupant","3","Not Applicable","3","Partially Ejected"
"1453575","2713876","3693051","124204","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","11","6","Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1453597","2713922","3693122","124229","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","14","1","None Used-Vehicle Occupant","3","Not Applicable","3","Partially Ejected"
"1453800","2714291","3693702","124435","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","19","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1453838","2714360","3693814","124473","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","11","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1453857","2714397","3693881","124492","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","23","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1453901","2714485","3694000","124540","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","14","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1454053","2714783","3694411","124704","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","30","7","Helmet/No High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1454084","2714846","3694492","124735","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","13","1","None Used-Vehicle Occupant","3","Not Applicable","1","Not Applicable"
"1454115","2714906","3694571","124768","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1454165","2715002","3694687","124818","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","12","8","No Helmet/High Visibility Clothing","3","Not Applicable","3","Partially Ejected"
"1454413","2715464","3695325","125079","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","20","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1454427","2715491","3695361","125094","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","16","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1454477","2715591","3695484","125147","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","33","1","None Used-Vehicle Occupant","3","Not Applicable","5","Unknown"
"1454656","2715938","3695971","125331","1995","01","01","N","Not Injured","1","Front Seat Left/Motorcycle Driver","14","1","None Used-Vehicle Occupant","3","Not Applicable","1","Not Applicable"
"1454938","2716481","3696760","125625","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","14","1","None Used-Vehicle Occupant","3","Not Applicable","3","Partially Ejected"
"1454963","2716523","3696824","125650","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","12","9","Restraint Use Unknown","3","Not Applicable","5","Unknown"
"1455081","2716731","3697132","125773","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","25","6","Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1455106","2716774","3697204","125800","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","13","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1455143","2716859","3697310","125840","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","41","6","Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1455188","2716942","3697410","125893","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","15","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1455218","2717003","3697499","125923","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","15","1","None Used-Vehicle Occupant","3","Not Applicable","1","Not Applicable"
"1455238","2717041","3697550","125945","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","16","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1455251","2717069","3697588","125958","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","38","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1455298","2717159","3697733","126010","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","17","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1455301","2717164","3697739","126013","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","20","6","Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1455370","2717296","3697903","126084","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","41","7","Helmet/No High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1455436","2717422","3698065","126151","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","12","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1455458","2717463","3698122","126174","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","15","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1455469","2717481","3698144","126187","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","12","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1455570","2717682","3698413","126290","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","34","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1455581","2717703","3698440","126304","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","9","9","Restraint Use Unknown","3","Not Applicable","5","Unknown"
"1455594","2717729","3698473","126317","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","8","9","Restraint Use Unknown","3","Not Applicable","5","Unknown"
"1455699","2717937","3698740","126426","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","8","8","No Helmet/High Visibility Clothing","3","Not Applicable","5","Unknown"
"1455746","2718031","3698851","126475","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","29","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1455769","2718085","3698922","126498","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","42","9","Restraint Use Unknown","3","Not Applicable","1","Not Applicable"
"1455809","2718162","3699028","126538","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","23","1","None Used-Vehicle Occupant","3","Not Applicable","3","Partially Ejected"
"1455821","2718185","3699056","126550","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","16","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1455902","2718344","3699256","126632","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","14","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1455912","2718362","3699282","126642","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1456034","2718587","3699612","126769","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","7","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1456110","2718720","3699832","126847","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","10","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1456295","2719060","3700341","127037","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","54","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1456326","2719121","3700420","127068","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","","9","Restraint Use Unknown","3","Not Applicable","5","Unknown"
"1456329","2719127","3700426","127071","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
